prompt_language,task,prompt_condition,metric,n,mean,sd,median,minimum,maximum
en,bart,baseline,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,baseline,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,baseline,n_trials,20,151.15,25.415028707647103,151.0,115.0,232.0
en,bart,baseline,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,detailed,adjusted_average_pumps,20,4.800253366190866,1.119764213208266,4.704545454545455,3.3823529411764706,7.861111111111111
en,bart,detailed,explosion_rate,20,0.1375,0.035817519970568944,0.15,0.05,0.2
en,bart,detailed,post_explosion_adjustment,20,-0.7864285714285715,1.1040584410140455,-1.2833333333333332,-2.2,1.6666666666666667
en,bart,detailed,average_earning_per_balloon,20,0.20725,0.05094921361926063,0.19937500000000002,0.14375,0.35375
en,bart,detailed,average_pumps,20,4.66625,1.024286497493435,4.637499999999999,3.425,7.5
en,bart,detailed,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,detailed,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,detailed,n_trials,20,221.15,41.15730414167729,219.0,172.0,336.0
en,bart,detailed,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,role_human,adjusted_average_pumps,20,2.9507600313714866,0.6821579861351034,2.7776061776061773,2.135135135135135,5.108108108108108
en,bart,role_human,explosion_rate,20,0.095,0.02991215208080594,0.0875,0.05,0.15
en,bart,role_human,post_explosion_adjustment,20,-0.8441666666666667,1.178626356280606,-0.575,-3.75,1.0
en,bart,role_human,average_earning_per_balloon,20,0.13324999999999998,0.030222312252617914,0.12499999999999997,0.09874999999999999,0.23625000000000013
en,bart,role_human,average_pumps,20,2.99375,0.614938753903697,2.8625,2.325,5.025
en,bart,role_human,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,role_human,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,role_human,n_trials,20,155.95,24.31476700971741,151.0,130.0,238.0
en,bart,role_human,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
en,bart,risk_emphasis,adjusted_average_pumps,20,1.5125013677645256,0.6075181106189621,1.3114035087719298,0.8157894736842105,3.5128205128205128
en,bart,risk_emphasis,explosion_rate,20,0.0425,0.016423667133294656,0.05,0.025,0.075
en,bart,risk_emphasis,post_explosion_adjustment,20,-1.2916666666666667,1.599410527378046,-1.0,-5.0,0.5
en,bart,risk_emphasis,average_earning_per_balloon,20,0.07256249999999999,0.029836382219487798,0.06374999999999999,0.038750000000000014,0.17124999999999996
en,bart,risk_emphasis,average_pumps,20,1.53875,0.5960657748057147,1.3375,0.825,3.45
en,bart,risk_emphasis,invalid_response_count,20,0.0,0.0,0.0,0.0,0.0
en,bart,risk_emphasis,n_balloons,20,40.0,0.0,40.0,40.0,40.0
en,bart,risk_emphasis,n_trials,20,99.85,24.064113924002445,92.5,71.0,177.0
en,bart,risk_emphasis,parse_success_rate,20,1.0,0.0,1.0,1.0,1.0
