model,prompt_language,task,prompt_condition,metric,abs_deviation_change,coverage_change,abs_ci_lower,abs_ci_upper,coverage_ci_lower,coverage_ci_upper
gpt-4.1-2025-04-14,es,igt,reward_loss_emphasis,advantageous_choice_rate,0.02516987547507865,0.0,-0.018877406606309766,0.08809456416277552,0.0,0.0
gpt-4.1-2025-04-14,es,igt,reward_loss_emphasis,post_loss_switching_rate,-0.08318430458786358,0.0,-0.17459534712108252,0.010795384159876478,0.0,0.0
gpt-4.1-2025-04-14,es,bart,detailed,adjusted_average_pumps,-0.41852987701569266,0.0,-0.5969858274179608,-0.23155927227579703,0.0,0.0
gpt-4.1-2025-04-14,es,bart,detailed,explosion_rate,-0.3742860836203756,0.0,-0.48437022586166273,-0.2642019413790885,0.0,0.0
gpt-4.1-2025-04-14,es,bart,detailed,post_explosion_adjustment,-0.05408912570636076,0.0,-0.4114093915669173,0.30266362544241876,-0.15000000000000002,0.15000000000000002
gpt-4.1-2025-04-14,es,bart,role_human,adjusted_average_pumps,0.008897292321897954,0.0,-0.16369152566959452,0.20187802845070837,0.0,0.0
gpt-4.1-2025-04-14,es,bart,role_human,explosion_rate,0.09907572801715869,0.0,0.0,0.19815145603431683,0.0,0.0
gpt-4.1-2025-04-14,es,bart,role_human,post_explosion_adjustment,-0.10536226595422643,0.0,-0.37720826128890655,0.173861308487575,-0.15000000000000002,0.15000000000000002
gpt-4.1-2025-04-14,es,bart,risk_emphasis,adjusted_average_pumps,-0.061802620597966706,0.0,-0.18651446473738925,0.055981230897298055,0.0,0.0
gpt-4.1-2025-04-14,es,bart,risk_emphasis,explosion_rate,0.011008414224128793,0.0,-0.077058899568901,0.09907572801715858,0.0,0.0
gpt-4.1-2025-04-14,es,bart,risk_emphasis,post_explosion_adjustment,-0.32971814125097343,0.050000000000000044,-0.5620690153259587,-0.08147534127556366,0.0,0.15000000000000002
