model,prompt_language,task,prompt_condition,metric,baseline_signed_human_sd_scaled_mean_deviation,condition_signed_human_sd_scaled_mean_deviation,signed_deviation_change_from_baseline,baseline_absolute_human_sd_scaled_mean_deviation,condition_absolute_human_sd_scaled_mean_deviation,absolute_deviation_change_from_baseline,baseline_reference_coverage,condition_reference_coverage,reference_coverage_change_from_baseline
GPT-5.4 Mini,en,horizon,role_human,horizon_effect,-1.4721077216608598,-1.2139946983977967,0.25811302326306307,1.4721077216608598,1.2139946983977967,-0.25811302326306307,0.7,0.65,-0.04999999999999993
GPT-4.1,en,horizon,uncertainty_emphasis,horizon_effect,-1.3860700472398388,-0.783806326292691,0.6022637209471479,1.3860700472398388,0.783806326292691,-0.6022637209471479,0.5,0.55,0.050000000000000044
GPT-4.1,es,horizon,uncertainty_emphasis,horizon_effect,-1.0705985743627615,-1.0705985743627615,0.0,1.0705985743627615,1.0705985743627615,0.0,0.8,0.7,-0.10000000000000009
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,horizon_effect,-1.2713531480118108,-0.8124855510996981,0.45886759691211265,1.2713531480118108,0.8124855510996981,-0.45886759691211265,0.6,0.9,0.30000000000000004
GPT-5.4,en,horizon,uncertainty_emphasis,horizon_effect,-1.2426739232048036,-1.0992777991697684,0.1433961240350352,1.2426739232048036,1.0992777991697684,-0.1433961240350352,0.65,0.8,0.15000000000000002
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,horizon_effect,-1.4721077216608598,-1.1853154735907898,0.28679224807007,1.4721077216608598,1.1853154735907898,-0.28679224807007,0.7,0.7,0.0
GPT-4.1,en,horizon,detailed,random_exploration_effect,-1.351872125617882,-1.4148964507199884,-0.06302432510210632,1.351872125617882,1.4148964507199884,0.06302432510210632,0.15,0.1,-0.04999999999999999
GPT-4.1,es,horizon,detailed,random_exploration_effect,-1.3523805149575667,-1.33642260407259,0.015957910884976778,1.3523805149575667,1.33642260407259,-0.015957910884976778,0.3,0.2,-0.09999999999999998
GPT-4.1,zh-CN,horizon,detailed,random_exploration_effect,-1.3480922495725607,-1.4137673134910025,-0.0656750639184418,1.3480922495725607,1.4137673134910025,0.0656750639184418,0.15,0.05,-0.09999999999999999
GPT-5.4,en,horizon,detailed,random_exploration_effect,-1.3751818616958438,-1.324630941163858,0.05055092053198584,1.3751818616958438,1.324630941163858,-0.05055092053198584,0.05,0.05,0.0
GPT-5.4 Mini,en,horizon,detailed,random_exploration_effect,-1.596346118330212,-1.384981106073066,0.211365012257146,1.596346118330212,1.384981106073066,-0.211365012257146,0.0,0.0,0.0
GPT-4.1,en,horizon,role_human,random_exploration_effect,-1.351872125617882,-1.3617127580438908,-0.009840632426008744,1.351872125617882,1.3617127580438908,0.009840632426008744,0.15,0.0,-0.15
GPT-4.1,es,horizon,role_human,random_exploration_effect,-1.3523805149575667,-1.2879004902107418,0.0644800247468249,1.3523805149575667,1.2879004902107418,-0.0644800247468249,0.3,0.25,-0.04999999999999999
GPT-4.1,zh-CN,horizon,role_human,random_exploration_effect,-1.3480922495725607,-1.356677591693617,-0.008585342121056216,1.3480922495725607,1.356677591693617,0.008585342121056216,0.15,0.25,0.1
GPT-5.4,en,horizon,role_human,random_exploration_effect,-1.3751818616958438,-1.4140934413098885,-0.03891157961404468,1.3751818616958438,1.4140934413098885,0.03891157961404468,0.05,0.0,-0.05
GPT-5.4 Mini,en,horizon,role_human,random_exploration_effect,-1.596346118330212,-1.301367392397271,0.29497872593294083,1.596346118330212,1.301367392397271,-0.29497872593294083,0.0,0.0,0.0
GPT-4.1,en,horizon,uncertainty_emphasis,random_exploration_effect,-1.351872125617882,-1.101588659118594,0.2502834664992881,1.351872125617882,1.101588659118594,-0.2502834664992881,0.15,0.5,0.35
GPT-4.1,es,horizon,uncertainty_emphasis,random_exploration_effect,-1.3523805149575667,-1.1552996817232486,0.19708083323431813,1.3523805149575667,1.1552996817232486,-0.19708083323431813,0.3,0.55,0.25000000000000006
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,random_exploration_effect,-1.3480922495725607,-1.1451458374659254,0.20294641210663533,1.3480922495725607,1.1451458374659254,-0.20294641210663533,0.15,0.45,0.30000000000000004
GPT-5.4,en,horizon,uncertainty_emphasis,random_exploration_effect,-1.3751818616958438,-1.3504548168854213,0.024727044810422427,1.3751818616958438,1.3504548168854213,-0.024727044810422427,0.05,0.0,-0.05
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,random_exploration_effect,-1.596346118330212,-1.4483907552993034,0.1479553630309085,1.596346118330212,1.4483907552993034,-0.1479553630309085,0.0,0.0,0.0
GPT-4.1,en,igt,detailed,advantageous_choice_rate,2.327614198695398,2.069622975075837,-0.25799122361956117,2.327614198695398,2.069622975075837,-0.25799122361956117,0.0,0.0,0.0
GPT-4.1,es,igt,detailed,advantageous_choice_rate,2.1325476637635377,2.0381606307319884,-0.09438703303154927,2.1325476637635377,2.0381606307319884,-0.09438703303154927,0.0,0.0,0.0
GPT-4.1,zh-CN,igt,detailed,advantageous_choice_rate,2.428293700595713,2.1451326015010763,-0.2831610990946367,2.428293700595713,2.1451326015010763,-0.2831610990946367,0.0,0.0,0.0
GPT-5.4,en,igt,detailed,advantageous_choice_rate,2.2395196345326216,2.497510858152179,0.2579912236195576,2.2395196345326216,2.497510858152179,0.2579912236195576,0.0,0.0,0.0
GPT-5.4 Mini,en,igt,detailed,advantageous_choice_rate,1.9657972387411355,2.069622975075837,0.10382573633470127,1.9657972387411355,2.069622975075837,0.10382573633470127,0.5,0.15,-0.35
GPT-4.1,en,igt,reward_loss_emphasis,advantageous_choice_rate,2.327614198695398,2.7114547996903506,0.38384060099495265,2.327614198695398,2.7114547996903506,0.38384060099495265,0.0,0.0,0.0
GPT-4.1,es,igt,reward_loss_emphasis,advantageous_choice_rate,2.1325476637635377,2.157717539238616,0.025169875475078207,2.1325476637635377,2.157717539238616,0.025169875475078207,0.0,0.0,0.0
GPT-4.1,zh-CN,igt,reward_loss_emphasis,advantageous_choice_rate,2.428293700595713,2.050745568469528,-0.3775481321261851,2.428293700595713,2.050745568469528,-0.3775481321261851,0.0,0.2,0.2
GPT-5.4,en,igt,reward_loss_emphasis,advantageous_choice_rate,2.2395196345326216,2.698869861952811,0.4593502274201895,2.2395196345326216,2.698869861952811,0.4593502274201895,0.0,0.0,0.0
GPT-5.4 Mini,en,igt,reward_loss_emphasis,advantageous_choice_rate,1.9657972387411355,2.0413068651663746,0.07550962642523906,1.9657972387411355,2.0413068651663746,0.07550962642523906,0.5,0.1,-0.4
