task,metric,language,n,language_mean,three_language_mean,centered_baseline_deviation,standardised_centered_baseline_deviation,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_ci_lower,raw_ci_upper,standardised_ci_lower,standardised_ci_upper
igt,post_loss_switching_rate,en,20,0.5696839372521532,0.4915556661677351,0.07812827108441806,0.9272595219908251,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.03573771735761051,0.11403095600175805,0.35511725958345,2.258105489123347
igt,post_loss_switching_rate,zh-CN,20,0.29153947947051395,0.4915556661677351,-0.20001618669722115,-2.3738771009906876,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.22141999874748186,-0.17640259249835713,-4.336129537580509,-1.7423863568263087
igt,post_loss_switching_rate,es,20,0.6134435817805383,0.4915556661677351,0.12188791561280315,1.4466175789998632,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.10018823085459146,0.14484713793141454,1.2281367825960177,2.160495908701143
bart,adjusted_average_pumps,en,20,9.050744405555307,7.938499974368342,1.1122444311869648,0.6908727378570435,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.7233242120870014,1.4963961677371105,0.46922059859506476,1.005365502791462
bart,adjusted_average_pumps,zh-CN,20,8.278933468788864,7.938499974368342,0.3404334944205223,0.2114609107078649,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.047724522213788055,0.627300748012064,0.0292486326906197,0.44098113537002
bart,adjusted_average_pumps,es,20,6.485822048760854,7.938499974368342,-1.452677925607488,-0.9023336485649089,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-1.85754534884578,-1.0835445736419724,-1.3095292413104773,-0.6666382235253066
bart,explosion_rate,en,20,0.2775,0.24958333333333335,0.027916666666666673,0.761560345742029,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.02041666666666664,0.03583333333333333,0.5891086735468932,1.0084068598139848
bart,explosion_rate,zh-CN,20,0.27375,0.24958333333333335,0.024166666666666642,0.6592611948214571,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.015000000000000013,0.03250000000000003,0.40390126938949855,0.9931966981753065
bart,explosion_rate,es,20,0.1975,0.24958333333333335,-0.05208333333333334,-1.420821540563487,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.061666666666666675,-0.0433229166666667,-1.8579756265606309,-1.1956111884921183
bart,post_explosion_adjustment,en,20,0.30276612276612275,0.48555893180893184,-0.1827928090428091,-0.14744459293489837,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.5309548761423761,0.10895800264550254,-0.41700879849306866,0.0971411285923045
bart,post_explosion_adjustment,zh-CN,20,0.8368670218670219,0.48555893180893184,0.35130809005809005,0.28337262611474384,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.10428436840936846,0.5925453481703481,0.08518112130733566,0.5304257854289315
bart,post_explosion_adjustment,es,20,0.3170436507936508,0.48555893180893184,-0.16851528101528102,-0.1359280331798455,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.5161090113590113,0.20374327755577756,-0.4813904452759137,0.15592124788822836
