task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
horizon,role_human,directed_exploration,20,60,0.555,0.5441666666666667,0.010833333333333361,0.13085838521941906,0.11686699592631832,0.082786695825173,0.55,0.5375,0.37796874999999996,0.69765625,within,0.55,17,0.85,zh-CN
horizon,uncertainty_emphasis,directed_exploration,20,60,0.5700000000000001,0.5441666666666667,0.025833333333333375,0.3120469186001528,0.10437785609076891,0.082786695825173,0.55,0.5375,0.37796874999999996,0.69765625,within,0.6333333333333333,17,0.85,zh-CN
horizon,baseline,horizon_effect,20,60,-0.009999999999999998,0.11082527130415917,-0.12082527130415917,-1.3860700472398388,0.08522416262267904,0.08717111486880876,-0.025,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.03333333333333333,10,0.5,en
horizon,detailed,horizon_effect,20,60,0.0025000000000000022,0.11082527130415917,-0.10832527130415917,-1.2426739232048036,0.07859791077978708,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,13,0.65,en
horizon,role_human,horizon_effect,20,60,-0.002500000000000001,0.11082527130415917,-0.11332527130415918,-1.300032372818818,0.06381511122808321,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,below,0.03333333333333333,13,0.65,en
horizon,uncertainty_emphasis,horizon_effect,20,60,0.04250000000000001,0.11082527130415917,-0.06832527130415916,-0.783806326292691,0.11387319817743724,0.08717111486880876,0.05,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.23333333333333334,11,0.55,en
horizon,baseline,horizon_effect,20,60,0.0175,0.11082527130415917,-0.09332527130415917,-1.0705985743627615,0.056835404088426585,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.08333333333333333,16,0.8,es
horizon,detailed,horizon_effect,20,60,0.02499999999999999,0.11082527130415917,-0.08582527130415918,-0.9845608999417405,0.08958970805552212,0.08717111486880876,0.05,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.08333333333333333,14,0.7,es
horizon,role_human,horizon_effect,20,60,0.034999999999999996,0.11082527130415917,-0.07582527130415917,-0.8698440007137122,0.08900029568253663,0.08717111486880876,0.05,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.16666666666666666,15,0.75,es
horizon,uncertainty_emphasis,horizon_effect,20,60,0.017500000000000005,0.11082527130415917,-0.09332527130415917,-1.0705985743627615,0.08626001086067757,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.08333333333333333,14,0.7,es
horizon,baseline,horizon_effect,20,60,-6.938893903907229e-19,0.11082527130415917,-0.11082527130415917,-1.2713531480118108,0.07433919416750283,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,12,0.6,zh-CN
horizon,detailed,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,-0.10332527130415918,-1.1853154735907898,0.06340139463848773,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,15,0.75,zh-CN
horizon,role_human,horizon_effect,20,60,0.0125,0.11082527130415917,-0.09832527130415918,-1.1279570239767756,0.08090767968233267,0.08717111486880876,0.0,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.03333333333333333,13,0.65,zh-CN
horizon,uncertainty_emphasis,horizon_effect,20,60,0.04000000000000001,0.11082527130415917,-0.07082527130415917,-0.8124855510996981,0.07181848464596079,0.08717111486880876,0.05,0.10072844518748508,-0.00016214622641509517,0.31131387578616354,within,0.21666666666666667,18,0.9,zh-CN
horizon,baseline,random_exploration_effect,20,60,0.2710818916466041,8.909982267051527,-8.638900375404923,-1.351872125617882,1.8018075093647485,6.390323619888572,-0.06574545131394527,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,3,0.15,en
horizon,detailed,random_exploration_effect,20,60,-0.13166394168092138,8.909982267051527,-9.041646208732448,-1.4148964507199884,1.762916908388103,6.390323619888572,-0.132741586961165,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,2,0.1,en
horizon,role_human,random_exploration_effect,20,60,0.20819706582003922,8.909982267051527,-8.701785201231488,-1.3617127580438908,0.804815449504988,6.390323619888572,0.36468872393789153,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,0,0.0,en
horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.870474239284595,8.909982267051527,-7.0395080277669315,-1.101588659118594,2.2054275187261885,6.390323619888572,1.4068377707317041,7.218026619638378,1.5685572698629873,25.397343561327602,within,0.03333333333333333,10,0.5,en
horizon,baseline,random_exploration_effect,20,60,0.2678331192411171,8.909982267051527,-8.642149147810409,-1.3523805149575667,2.3695494099623504,6.390323619888572,0.5595466741362918,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,6,0.3,es
horizon,detailed,random_exploration_effect,20,60,0.36980933409346145,8.909982267051527,-8.540172932958065,-1.33642260407259,1.673638038141652,6.390323619888572,0.15707974004154623,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,4,0.2,es
horizon,role_human,random_exploration_effect,20,60,0.6798813443917531,8.909982267051527,-8.230100922659775,-1.2879004902107418,1.6020312077449326,6.390323619888572,0.6045489270852071,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,5,0.25,es
horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.5272434228857015,8.909982267051527,-7.382738844165825,-1.1552996817232486,2.3193114658273406,6.390323619888572,1.8317835813241947,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.03333333333333333,11,0.55,es
horizon,baseline,random_exploration_effect,20,60,0.29523652281927343,8.909982267051527,-8.614745744232254,-1.3480922495725607,1.2722120596277098,6.390323619888572,-0.015486213496030077,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,3,0.15,zh-CN
horizon,detailed,random_exploration_effect,20,60,-0.12444838937643743,8.909982267051527,-9.034430656427965,-1.4137673134910025,0.9968698752474346,6.390323619888572,-0.13184783444274562,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,1,0.05,zh-CN
horizon,role_human,random_exploration_effect,20,60,0.24037340827826315,8.909982267051527,-8.669608858773264,-1.356677591693617,1.780124475089745,6.390323619888572,0.17598278234246778,7.218026619638378,1.5685572698629873,25.397343561327602,below,0.0,5,0.25,zh-CN
horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.592129773675944,8.909982267051527,-7.317852493375582,-1.1451458374659254,1.0709169178981253,6.390323619888572,1.343381239366707,7.218026619638378,1.5685572698629873,25.397343561327602,within,0.03333333333333333,9,0.45,zh-CN
