task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
bart,detailed,adjusted_average_pumps,20,141,4.800253366190867,8.320018931754284,-3.519765565563417,-1.0726432615384984,1.119764213208266,3.281394375717232,4.704545454545455,7.931034482758621,3.145534290271132,15.412337662337663,within,0.10638297872340426,20,1.0,en
bart,risk_emphasis,adjusted_average_pumps,20,141,1.5125013677645254,8.320018931754284,-6.807517563989759,-2.074580737495719,0.6075181106189621,3.281394375717232,1.3114035087719298,7.931034482758621,3.145534290271132,15.412337662337663,below,0.0,1,0.05,en
bart,role_human,adjusted_average_pumps,20,141,2.950760031371486,8.320018931754284,-5.369258900382798,-1.636273573245584,0.6821579861351034,3.281394375717232,2.7776061776061773,7.931034482758621,3.145534290271132,15.412337662337663,below,0.014184397163120567,6,0.3,en
bart,baseline,explosion_rate,20,141,0.07875,0.2852836879432623,-0.20653368794326232,-1.8188867104930921,0.018628995509264872,0.11354950627313778,0.075,0.275,0.075,0.475,within,0.04964539007092199,16,0.8,en
bart,detailed,explosion_rate,20,141,0.13749999999999998,0.2852836879432623,-0.14778368794326233,-1.3014912419590439,0.035817519970568944,0.11354950627313778,0.15,0.275,0.075,0.475,within,0.09219858156028368,19,0.95,en
bart,risk_emphasis,explosion_rate,20,141,0.0425,0.2852836879432623,-0.2427836879432623,-2.138130722992824,0.016423667133294656,0.11354950627313778,0.05,0.275,0.075,0.475,below,0.0070921985815602835,2,0.1,en
bart,role_human,explosion_rate,20,141,0.09499999999999999,0.2852836879432623,-0.19028368794326234,-1.6757773255794193,0.02991215208080594,0.11354950627313778,0.0875,0.275,0.075,0.475,within,0.04964539007092199,18,0.9,en
bart,baseline,post_explosion_adjustment,20,140,-0.9416666666666668,1.191158698327816,-2.1328253649944826,-1.3260570650227872,1.3070602253716306,1.6083963663794754,-1.125,1.15,-1.6786931818181818,4.4923214285714295,within,0.08571428571428572,14,0.7,en
bart,detailed,post_explosion_adjustment,20,140,-0.7864285714285715,1.191158698327816,-1.9775872697563874,-1.2295397521992457,1.1040584410140453,1.6083963663794754,-1.2833333333333332,1.15,-1.6786931818181818,4.4923214285714295,within,0.1,17,0.85,en
bart,risk_emphasis,post_explosion_adjustment,20,140,-1.2916666666666667,1.191158698327816,-2.4828253649944827,-1.5436651169408946,1.599410527378046,1.6083963663794754,-1.0,1.15,-1.6786931818181818,4.4923214285714295,within,0.05,16,0.8,en
bart,role_human,post_explosion_adjustment,20,140,-0.8441666666666668,1.191158698327816,-2.035325364994483,-1.2654376791313147,1.178626356280606,1.6083963663794754,-0.575,1.15,-1.6786931818181818,4.4923214285714295,within,0.1,16,0.8,en
